URL,Port,Infoerror,Commonname,Internal Expiration,External Expiration,WAF Type,Issuer,Days,Copytocust,Checked,Supported by,BU,CDB,Lifecycle,Installer,Ticket
"content.sso.tracesmart.co.uk","443","good","content.sso.tracesmart.co.uk","2022-06-09","","","Trustwave Holdings","7.75","N","2022-06-01 10:01:13 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=content.sso.tracesmart.co.uk","","",""
"10.245.51.95","443","good","Kubernetes","2022-06-09","","","Acme Co","7.75","N","2022-05-30 02:04:10 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=10.245.51.95","","",""
"10.245.51.142","443","bad 28","Kubernetes","2022-06-09","","","Acme Co","7.75","N","2022-05-30 02:01:00 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=10.245.51.142","","",""
"10.245.51.146","443","bad 28","Kubernetes","2022-06-09","","","Acme Co","7.75","N","2022-05-30 02:01:35 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=10.245.51.146","","",""
"10.245.51.196","443","bad 28","Kubernetes","2022-06-09","","","Acme Co","7.75","N","2022-05-30 02:02:10 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=10.245.51.196","","",""
"10.245.51.241","443","bad 28","Kubernetes","2022-06-09","","","Acme Co","7.75","N","2022-05-30 02:02:45 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=10.245.51.241","","",""
"10.245.51.82","443","bad 28","Kubernetes","2022-06-09","","","Acme Co","7.75","N","2022-05-30 02:03:55 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=10.245.51.82","","",""
"ala.davewv-extvip.noam.lnrm.net","443","good","www.davewv.vitalchek.com","2022-06-09","","","Trustwave Holdings","7.75","N","2022-05-30 02:30:37 ","vcn_productionsupport@vitalchek.com","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=ala.davewv-extvip.noam.lnrm.net","","",""
"ala.davewv.noam.lnrm.net","443","good","www.davewv.vitalchek.com","2022-06-09","","","Trustwave Holdings","7.75","N","2022-05-30 02:30:37 ","vcn_productionsupport@vitalchek.com","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=ala.davewv.noam.lnrm.net","","",""
"ala.demo.davewv-extvip.noam.lnrm.net","443","good","www.davewv.vitalchek.com","2022-06-09","","","Trustwave Holdings","7.75","N","2022-05-30 02:30:39 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=ala.demo.davewv-extvip.noam.lnrm.net","","",""
"ala.demo.davewv.noam.lnrm.net","443","good","www.davewv.vitalchek.com","2022-06-09","","","Trustwave Holdings","7.75","N","2022-05-30 02:30:40 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=ala.demo.davewv.noam.lnrm.net","","",""
"ala.uat.davewv-extvip.noam.lnrm.net","443","good","www.davewv.vitalchek.com","2022-06-09","","","Trustwave Holdings","7.75","N","2022-05-30 02:30:48 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=ala.uat.davewv-extvip.noam.lnrm.net","","",""
"ala.uat.davewv.noam.lnrm.net","443","good","www.davewv.vitalchek.com","2022-06-09","","","Trustwave Holdings","7.75","N","2022-05-30 02:30:48 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=ala.uat.davewv.noam.lnrm.net","","",""
"bct.davewv-extvip.noam.lnrm.net","443","good","www.davewv.vitalchek.com","2022-06-09","","","Trustwave Holdings","7.75","N","2022-05-30 06:58:00 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=bct.davewv-extvip.noam.lnrm.net","","",""
"bct.davewv.vitalchek.com","443","good","www.davewv.vitalchek.com","2022-06-09","","","Trustwave Holdings","7.75","N","2022-05-31 22:55:40 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=bct.davewv.vitalchek.com","","",""
"bct.prod.davewv.noam.lnrm.net.noam.lnrm.net","443","good","www.davewv.vitalchek.com","2022-06-09","","","Trustwave Holdings","7.75","N","2022-05-30 06:58:03 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=bct.prod.davewv.noam.lnrm.net.noam.lnrm.net","","",""
"bct.uat.davewv.noam.lnrm.net.noam.lnrm.net","443","good","www.davewv.vitalchek.com","2022-06-09","","","Trustwave Holdings","7.75","N","2022-05-30 06:58:14 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=bct.uat.davewv.noam.lnrm.net.noam.lnrm.net","","",""
"davewv.vitalchek.com","443","good","www.davewv.vitalchek.com","2022-06-09","","","Trustwave Holdings","7.75","N","2022-05-31 23:38:30 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=davewv.vitalchek.com","","",""
"demo.davewv.vitalchek.com","443","good","www.davewv.vitalchek.com","2022-06-09","","","Trustwave Holdings","7.75","N","2022-05-31 23:40:06 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=demo.davewv.vitalchek.com","","",""
"uat.davewv.vitalchek.com","443","good","www.davewv.vitalchek.com","2022-06-09","","","Trustwave Holdings","7.75","N","2022-06-01 05:03:33 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=uat.davewv.vitalchek.com","","",""
"aac.accurint.cc","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","Y","2022-05-31 22:30:03 ","webops@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurint.cc","Prod","Ris-GloAppInf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurint.tv","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","Y","2022-05-31 22:30:06 ","webops@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurint.tv","Prod","Ris-GloAppInf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurint.com","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-06-01 10:01:46 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurint.com","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurint.biz","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:02 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurint.biz","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurint.bz","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:03 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurint.bz","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurint.gs","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:04 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurint.gs","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurint.info","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:04 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurint.info","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurint.ms","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:04 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurint.ms","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurint.net","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:05 ","espteam@lexisnexis.com","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurint.net","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurint.org","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:05 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurint.org","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurint.tc","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:05 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurint.tc","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurint.us","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:06 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurint.us","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurint.ws","443","bad 6","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:06 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurint.ws","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintenterprise.biz","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:06 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintenterprise.biz","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintenterprise.bz","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:07 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintenterprise.bz","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintenterprise.cc","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:07 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintenterprise.cc","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintenterprise.com","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:07 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintenterprise.com","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintenterprise.gs","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:08 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintenterprise.gs","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintenterprise.info","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:08 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintenterprise.info","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintenterprise.ms","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:08 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintenterprise.ms","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintenterprise.net","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:11 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintenterprise.net","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintenterprise.org","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:11 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintenterprise.org","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintenterprise.tc","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:12 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintenterprise.tc","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintenterprise.tv","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:12 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintenterprise.tv","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintenterprise.us","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:12 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintenterprise.us","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintenterprise.ws","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:13 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintenterprise.ws","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintkiller.com","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:13 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintkiller.com","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintkiller.info","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:13 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintkiller.info","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintkiller.net","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:14 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintkiller.net","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintkiller.org","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:14 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintkiller.org","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintlawenforcement.biz","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:14 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintlawenforcement.biz","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintlawenforcement.bz","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:15 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintlawenforcement.bz","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintlawenforcement.cc","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:15 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintlawenforcement.cc","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintlawenforcement.com","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:15 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintlawenforcement.com","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintlawenforcement.gs","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:15 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintlawenforcement.gs","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintlawenforcement.info","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:16 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintlawenforcement.info","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintlawenforcement.ms","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:16 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintlawenforcement.ms","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintlawenforcement.net","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:16 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintlawenforcement.net","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintlawenforcement.org","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:17 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintlawenforcement.org","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintlawenforcement.tc","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:17 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintlawenforcement.tc","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintlawenforcement.tv","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:17 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintlawenforcement.tv","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintlawenforcement.us","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:18 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintlawenforcement.us","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintlawenforcement.ws","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:18 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintlawenforcement.ws","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintle.biz","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:18 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintle.biz","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintle.bz","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:19 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintle.bz","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintle.cc","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:19 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintle.cc","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintle.gs","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:20 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintle.gs","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintle.info","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:20 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintle.info","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintle.ms","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:20 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintle.ms","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintle.net","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:21 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintle.net","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintle.org","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:21 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintle.org","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintle.tc","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:22 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintle.tc","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintle.tv","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:22 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintle.tv","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintle.us","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:22 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintle.us","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac.accurintle.ws","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:22 ","espteam@lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac.accurintle.ws","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac2.accurint.com","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:30:58 ","tas-idm@risk.lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac2.accurint.com","Prod","RIS-GLOAppInf@risk.lexisnexis.com","IOG-22487/05-28-22"
"aac3.accurint.com","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-31 22:32:08 ","tas-idm@risk.lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=aac3.accurint.com","Prod","RIS-GLOAppInf@risk.lexisnexis.com","IOG-22487/05-28-22"
"web02.accurint.com","443","good","aac.accurint.com","2022-06-10","","","Trustwave Holdings","8.75","N","2022-05-30 21:25:49 ","tas-idm@risk.lexisnexis.com","BS","https://cdb.rs.lexisnexis.net/ssl/index.php?q=web02.accurint.com","Prod","ris-gloappinf@risk.lexisnexis.com","IOG-22487/05-28-22"
"alawpwinteam301.risk.regn.net","443","good","alawpwinteam301.risk.regn.net","2022-06-10","","","NAPDA2PKIP039","8.75","N","2022-05-30 05:56:13 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=alawpwinteam301.risk.regn.net","","",""
"hello.risk.regn.net","443","good","alawpwinteam301.risk.regn.net","2022-06-10","","","NAPDA2PKIP039","8.75","N","2022-05-30 13:30:14 ","","","https://cdb.rs.lexisnexis.net/ssl/index.php?q=hello.risk.regn.net","","",""
